start	end	text
0	3000	What passion made me working on my free bench
3000	5000	Baby, hold your love
5000	7000	And I want your revenge
7000	9000	I want your love
9000	11000	I want to be friends
11000	14000	To don't I'm always over-dollable
14000	16000	To don't I'm over
16000	19000	I don't mind I'll be friends
19000	23000	I don't mind I'll be friends
23000	27000	I'll be friends
27000	30000	I don't mind I'll be friends
30000	32000	I don't mind I'll be friends
32000	35000	I don't mind I'll be friends
