start	end	text
0	3000	Um
3000	4360	Wait,eth.
4540	5580	I've bought it.
6440	7260	Right now.
9720	11860	one time not
11860	12660	word ,
12660	13520	it's too long old.
17260	18580	The same place when they showed us
18580	21600	what they would get out of this
21600	24640	because they'd build in this area.
27040	28320	Uh
28320	32320	And you'll see everything you have in your mouth.
35320	36320	Now, let's buy it.
39320	41320	Look, everything is...
42320	43320	What? Everything is...
44320	46320	Everything is the same in the mouth when you open it.
47320	49320	Yes, everything is good.
50320	51320	Yes, it's the most important thing to do.
52320	53320	Yes, yes, yes, yes. I want to try it.
54320	55320	I'll just put it on my face.
