video_id,creator,title,local_video,clip_path,start_seconds,end_seconds,moment_bucket,role_tag,clip_priority,visual_evidence,on_screen_text,spoken_evidence,why_this_moment_matters,mumuki_reuse_note
7318924509522791710,@thenaturalnadine,Banana Peel Skincare Scrub,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-natural-nadine-banana-peel.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/thenaturalnadine__banana-peel-skincare-scrub__7318924509522791710_v3_31flashlite/beat-01.mp4,36.0,39.0,hook_moment,stop-power,1,The creator holds a banana peel and begins rubbing the inside of it directly onto her cheek.,then take your banana peel and start rubbing it gently all over your face,then take your banana peel and start rubbing it gently all over your face,This is the core 'what is she doing' moment that creates immediate curiosity and visual intrigue.,Can be adapted by showing the application of the MUMUKI ampoule in a similar direct-to-skin motion to highlight texture and ease of use.
7318924509522791710,@thenaturalnadine,Banana Peel Skincare Scrub,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-natural-nadine-banana-peel.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/thenaturalnadine__banana-peel-skincare-scrub__7318924509522791710_v3_31flashlite/beat-02.mp4,39.5,43.0,application_moment,product-like application,2,Close-up shot of the creator rubbing the banana peel under her eye and across her cheekbone.,you'll be hydrating your skin from the inside out from the potassium it contains,,Demonstrates the specific application technique and highlights the 'skincare' aspect of the DIY method.,"Use this framing to show the ampoule being applied to the under-eye area, emphasizing the product's targeted benefits."
7318924509522791710,@thenaturalnadine,Banana Peel Skincare Scrub,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-natural-nadine-banana-peel.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/thenaturalnadine__banana-peel-skincare-scrub__7318924509522791710_v3_31flashlite/beat-03.mp4,47.5,51.0,application_moment,product-like application,3,Close-up of the creator rubbing the peel along her jawline and neck area.,and the tannins of the banana peels helps reduce redness,,Shows the versatility of the application across different facial zones.,Show the ampoule being massaged into the jawline to demonstrate lifting or firming benefits.
7318924509522791710,@thenaturalnadine,Banana Peel Skincare Scrub,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-natural-nadine-banana-peel.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/thenaturalnadine__banana-peel-skincare-scrub__7318924509522791710_v3_31flashlite/beat-04.mp4,53.0,56.0,payoff_moment,skin glow / skin payoff,4,"The creator shows her face with the banana residue on it, looking directly at the camera.",and let the banana peel residue sit on your face for 10 minutes,,"Shows the 'mask' effect of the DIY ingredient, which is a common visual trope in skincare content.",Show the ampoule applied as a serum or mask layer on the skin to highlight the product's finish and glow.
7318924509522791710,@thenaturalnadine,Banana Peel Skincare Scrub,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-natural-nadine-banana-peel.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/thenaturalnadine__banana-peel-skincare-scrub__7318924509522791710_v3_31flashlite/beat-05.mp4,57.5,60.5,payoff_moment,skin glow / skin payoff,5,"The creator poses with a peace sign, showing her clean, glowing skin after the process.",something you can do everyday,"It's super easy, something you can do everyday","Provides the final 'result' shot, proving the efficacy of the routine.",Use this as the final shot of the MUMUKI video to show the 'after' glow and encourage daily use.
7330117596110392619,@victoria__benitez,Banana for Skin Girlies,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-victoria__benitez-7330117596110392619.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/victoria-benitez__banana-for-skin-girlies__7330117596110392619_v3_31flashlite/beat-01.mp4,6.5,10.0,hook_moment,stop-power,1,The creator is holding a banana peel and directly rubbing the inner side of it against her cheek.,,"Yeah, rub it on your face.","This is the most shocking and attention-grabbing action in the video, creating immediate curiosity about the efficacy of banana peels on skin.","Use this as a 'don't do this' hook, transitioning to the professional, clean application of the MUMUKI Honey Banana BDRN Ampoule."
7330117596110392619,@victoria__benitez,Banana for Skin Girlies,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-victoria__benitez-7330117596110392619.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/victoria-benitez__banana-for-skin-girlies__7330117596110392619_v3_31flashlite/beat-02.mp4,13.0,16.0,ingredient_focus,visual-proof,2,Close-up of the creator rubbing the banana peel across her forehead and under-eye area.,,"This is going to get you nice, tight, right, glowy, potassium baby.","It highlights the 'banana for skin' trend and the specific desire for 'glowy' skin, which aligns with the product's benefits.",Can be used as a montage clip to show the popularity of banana-based skincare before introducing the product as the superior alternative.
7330117596110392619,@victoria__benitez,Banana for Skin Girlies,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-victoria__benitez-7330117596110392619.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/victoria-benitez__banana-for-skin-girlies__7330117596110392619_v3_31flashlite/beat-03.mp4,16.5,19.5,ingredient_focus,visual-proof,3,"The creator is aggressively rubbing the banana peel over her entire face, showing the texture of the peel against the skin.",,Get her on your skin. Get it on there.,"Demonstrates the high level of interest in DIY banana skincare, proving the ingredient's appeal to the target audience.","Use to contrast the messy DIY approach with the refined, concentrated formula of the MUMUKI ampoule."
7330117596110392619,@victoria__benitez,Banana for Skin Girlies,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-victoria__benitez-7330117596110392619.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/victoria-benitez__banana-for-skin-girlies__7330117596110392619_v3_31flashlite/beat-04.mp4,21.0,24.0,application_demo,visual-proof,4,"The creator uses the banana peel as a makeshift tool to brush her eyebrows, showing a multi-use DIY approach.",,"Look, you can even use her as a eyebrow brush.","Shows the creator's creative, albeit unconventional, use of the ingredient, which is highly engaging for social media viewers.","Not directly reusable for application, but highlights the 'banana' theme that can be bridged to the product's key ingredient."
7330117596110392619,@victoria__benitez,Banana for Skin Girlies,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/site/assets/videos/viral-victoria__benitez-7330117596110392619.mp4,/Users/borgrise/Desktop/codex/视频创作_重构版/01-内容生产/workspaces/MUMUKI_Creator_Reference_Hub/content/visual-hook-mining/clips/victoria-benitez__banana-for-skin-girlies__7330117596110392619_v3_31flashlite/beat-05.mp4,25.0,28.0,skin_payoff,visual-proof,5,"Close-up of the creator's face after the application, showing a natural, dewy skin finish.",,My eyebrows have never been so brushed.,"The final shot shows the 'glowy' result the user is aiming for, which is the ultimate goal for the MUMUKI product as well.","Use as a 'result' shot, showing that while DIY is messy, the goal of 'glowy skin' is valid and achievable with the right product."
