id,videoId,creator,title,clipPath,startSeconds,endSeconds,momentBucket,roleTag,clipPriority,visualEvidence,whyThisMomentMatters,mumukiReuseNote
7318924509522791710-001,7318924509522791710,@thenaturalnadine,Banana Peel Skincare Scrub,../content/visual-hook-mining/clips/thenaturalnadine__banana-peel-skincare-scrub__7318924509522791710_v3_31flashlite/beat-01.mp4,36.0,39.0,hook_moment,stop-power,1,The creator holds a banana peel and begins rubbing the inside of it directly onto her cheek.,This is the core 'what is she doing' moment that creates immediate curiosity and visual intrigue.,Can be adapted by showing the application of the MUMUKI ampoule in a similar direct-to-skin motion to highlight texture and ease of use.
7318924509522791710-004,7318924509522791710,@thenaturalnadine,Banana Peel Skincare Scrub,../content/visual-hook-mining/clips/thenaturalnadine__banana-peel-skincare-scrub__7318924509522791710_v3_31flashlite/beat-04.mp4,53.0,56.0,payoff_moment,skin glow / skin payoff,4,"The creator shows her face with the banana residue on it, looking directly at the camera.","Shows the 'mask' effect of the DIY ingredient, which is a common visual trope in skincare content.",Show the ampoule applied as a serum or mask layer on the skin to highlight the product's finish and glow.
7318924509522791710-005,7318924509522791710,@thenaturalnadine,Banana Peel Skincare Scrub,../content/visual-hook-mining/clips/thenaturalnadine__banana-peel-skincare-scrub__7318924509522791710_v3_31flashlite/beat-05.mp4,57.5,60.5,payoff_moment,skin glow / skin payoff,5,"The creator poses with a peace sign, showing her clean, glowing skin after the process.","Provides the final 'result' shot, proving the efficacy of the routine.",Use this as the final shot of the MUMUKI video to show the 'after' glow and encourage daily use.
7330117596110392619-009,7330117596110392619,@victoria__benitez,Banana for Skin Girlies,../content/visual-hook-mining/clips/victoria-benitez__banana-for-skin-girlies__7330117596110392619_v3_31flashlite/beat-04.mp4,21.0,24.0,application_demo,visual-proof,4,"The creator uses the banana peel as a makeshift tool to brush her eyebrows, showing a multi-use DIY approach.","Shows the creator's creative, albeit unconventional, use of the ingredient, which is highly engaging for social media viewers.","Not directly reusable for application, but highlights the 'banana' theme that can be bridged to the product's key ingredient."
7330117596110392619-010,7330117596110392619,@victoria__benitez,Banana for Skin Girlies,../content/visual-hook-mining/clips/victoria-benitez__banana-for-skin-girlies__7330117596110392619_v3_31flashlite/beat-05.mp4,25.0,28.0,skin_payoff,visual-proof,5,"Close-up of the creator's face after the application, showing a natural, dewy skin finish.","The final shot shows the 'glowy' result the user is aiming for, which is the ultimate goal for the MUMUKI product as well.","Use as a 'result' shot, showing that while DIY is messy, the goal of 'glowy skin' is valid and achievable with the right product."
7331862916603612462-011,7331862916603612462,@sheenaanayaaa,Banana Peel Tightening Test,../content/visual-hook-mining/clips/sheenaanayaaa__banana-peel-tightening-test__7331862916603612462_v3_31flashlite/beat-01.mp4,0.0,3.0,hook_moment,stop-power,1,"The creator holds two banana peels up to the camera, framing her face.",Immediate visual curiosity about using food for skincare.,Use a similar framing with the MUMUKI product to establish the ingredient focus immediately.
7355150760293747998-020,7355150760293747998,@katiejanehughes,Banana Skin Facial,../content/visual-hook-mining/clips/katiejanehughes__banana-skin-facial__7355150760293747998_v3_31flashlite/beat-05.mp4,85.83,87.83,result_demonstration,before-after,5,"The creator points to her pores on the treated side versus the untreated side, highlighting the difference.",Clear visual comparison that provides social proof of the ingredient's effectiveness.,Use a split-screen comparison of the MUMUKI ampoule side vs. bare skin to highlight pore refinement and glow.
7427159569874390315-024,7427159569874390315,@duoheadspa,Banana Fruit Facial,../content/visual-hook-mining/clips/duoheadspa__banana-fruit-facial__7427159569874390315_v3_31flashlite/beat-04.mp4,9.5,12.0,application_moment,ingredient-focus,4,"Hands placing individual banana slices onto the face, reinforcing the DIY banana theme.","Directly links the ingredient (banana) to the skin, validating the interest in banana-based skincare.","Transition from this to a close-up of the MUMUKI ampoule texture to show a more effective, modern alternative to raw fruit."
7427159569874390315-025,7427159569874390315,@duoheadspa,Banana Fruit Facial,../content/visual-hook-mining/clips/duoheadspa__banana-fruit-facial__7427159569874390315_v3_31flashlite/beat-05.mp4,13.0,16.0,result_moment,skin-payoff,5,"A towel being wiped off the face, revealing clean, glowing, and refreshed skin.","The 'reveal' is the most important part of any skincare video, showing the final skin payoff.",Use as the 'after' shot to show the glowing skin results achievable with the MUMUKI ampoule.
7447707169664879915-033,7447707169664879915,@byzareefa,Banana Peel DIY Mask,../content/visual-hook-mining/clips/byzareefa__banana-peel-diy-mask__7447707169664879915_v3_31flashlite/beat-03.mp4,28.5,31.5,application_moment,product-like application,3,The creator rubs the banana peel across her forehead and brow area.,"Shows the versatility of the application on different facial zones, reinforcing the 'skincare routine' aspect.",Show the product being applied to the forehead to demonstrate ease of use and coverage.
