id,videoId,creator,title,clipPath,startSeconds,endSeconds,momentBucket,roleTag,clipPriority,visualEvidence,whyThisMomentMatters,mumukiReuseNote
7318924509522791710-002,7318924509522791710,@thenaturalnadine,Banana Peel Skincare Scrub,../content/visual-hook-mining/clips/thenaturalnadine__banana-peel-skincare-scrub__7318924509522791710_v3_31flashlite/beat-02.mp4,39.5,43.0,application_moment,product-like application,2,Close-up shot of the creator rubbing the banana peel under her eye and across her cheekbone.,Demonstrates the specific application technique and highlights the 'skincare' aspect of the DIY method.,"Use this framing to show the ampoule being applied to the under-eye area, emphasizing the product's targeted benefits."
7318924509522791710-003,7318924509522791710,@thenaturalnadine,Banana Peel Skincare Scrub,../content/visual-hook-mining/clips/thenaturalnadine__banana-peel-skincare-scrub__7318924509522791710_v3_31flashlite/beat-03.mp4,47.5,51.0,application_moment,product-like application,3,Close-up of the creator rubbing the peel along her jawline and neck area.,Shows the versatility of the application across different facial zones.,Show the ampoule being massaged into the jawline to demonstrate lifting or firming benefits.
7330117596110392619-006,7330117596110392619,@victoria__benitez,Banana for Skin Girlies,../content/visual-hook-mining/clips/victoria-benitez__banana-for-skin-girlies__7330117596110392619_v3_31flashlite/beat-01.mp4,6.5,10.0,hook_moment,stop-power,1,The creator is holding a banana peel and directly rubbing the inner side of it against her cheek.,"This is the most shocking and attention-grabbing action in the video, creating immediate curiosity about the efficacy of banana peels on skin.","Use this as a 'don't do this' hook, transitioning to the professional, clean application of the MUMUKI Honey Banana BDRN Ampoule."
7330117596110392619-007,7330117596110392619,@victoria__benitez,Banana for Skin Girlies,../content/visual-hook-mining/clips/victoria-benitez__banana-for-skin-girlies__7330117596110392619_v3_31flashlite/beat-02.mp4,13.0,16.0,ingredient_focus,visual-proof,2,Close-up of the creator rubbing the banana peel across her forehead and under-eye area.,"It highlights the 'banana for skin' trend and the specific desire for 'glowy' skin, which aligns with the product's benefits.",Can be used as a montage clip to show the popularity of banana-based skincare before introducing the product as the superior alternative.
7330117596110392619-008,7330117596110392619,@victoria__benitez,Banana for Skin Girlies,../content/visual-hook-mining/clips/victoria-benitez__banana-for-skin-girlies__7330117596110392619_v3_31flashlite/beat-03.mp4,16.5,19.5,ingredient_focus,visual-proof,3,"The creator is aggressively rubbing the banana peel over her entire face, showing the texture of the peel against the skin.","Demonstrates the high level of interest in DIY banana skincare, proving the ingredient's appeal to the target audience.","Use to contrast the messy DIY approach with the refined, concentrated formula of the MUMUKI ampoule."
7331862916603612462-012,7331862916603612462,@sheenaanayaaa,Banana Peel Tightening Test,../content/visual-hook-mining/clips/sheenaanayaaa__banana-peel-tightening-test__7331862916603612462_v3_31flashlite/beat-02.mp4,5.0,8.0,application_moment,visual-action,2,The creator rubs the inside of a banana peel directly onto her cheek and jawline.,Demonstrates the 'DIY' application method that viewers find intriguing.,Show the application of the MUMUKI ampoule in a similar sweeping motion to emphasize texture and coverage.
7331862916603612462-013,7331862916603612462,@sheenaanayaaa,Banana Peel Tightening Test,../content/visual-hook-mining/clips/sheenaanayaaa__banana-peel-tightening-test__7331862916603612462_v3_31flashlite/beat-03.mp4,10.5,13.5,application_moment,visual-action,3,The creator places pieces of banana peel under her eyes like eye patches.,Creates a 'skincare hack' visual that is highly shareable.,Show the ampoule being applied to the under-eye area to highlight its targeted benefits.
7331862916603612462-014,7331862916603612462,@sheenaanayaaa,Banana Peel Tightening Test,../content/visual-hook-mining/clips/sheenaanayaaa__banana-peel-tightening-test__7331862916603612462_v3_31flashlite/beat-04.mp4,16.0,19.0,process_moment,visual-action,4,The creator has multiple pieces of banana peel stuck to her face as a mask.,Strong visual impact of a 'DIY mask' that stops the scroll.,"Show the ampoule applied as a thick, nourishing layer to mimic the 'mask' effect."
7331862916603612462-015,7331862916603612462,@sheenaanayaaa,Banana Peel Tightening Test,../content/visual-hook-mining/clips/sheenaanayaaa__banana-peel-tightening-test__7331862916603612462_v3_31flashlite/beat-05.mp4,26.5,29.5,result_moment,skin-payoff,5,"Close-up of the creator's face showing smooth, glowing skin after the process.",Provides the 'proof' that the skincare routine works.,Show a close-up of skin after applying the MUMUKI ampoule to highlight the glow and texture improvement.
7355150760293747998-016,7355150760293747998,@katiejanehughes,Banana Skin Facial,../content/visual-hook-mining/clips/katiejanehughes__banana-skin-facial__7355150760293747998_v3_31flashlite/beat-01.mp4,0.0,4.0,hook_moment,stop-power,1,The creator is rubbing the inside of a banana peel directly onto her cheek.,The unconventional use of a common food item as skincare creates immediate curiosity and stop-power.,Use this as a hook for the MUMUKI Honey Banana BDRN Ampoule by showing the product being applied in a similar motion to emphasize the 'natural' ingredient benefit.
7355150760293747998-017,7355150760293747998,@katiejanehughes,Banana Skin Facial,../content/visual-hook-mining/clips/katiejanehughes__banana-skin-facial__7355150760293747998_v3_31flashlite/beat-02.mp4,17.0,20.0,application_demonstration,product-like application,2,Close-up of the creator rubbing the banana peel on one side of her face.,"The 'half-face' experiment is a classic, highly effective visual trope for demonstrating product efficacy.",Replicate the half-face application test with the MUMUKI ampoule to visually prove the glow/tightening effect.
7355150760293747998-018,7355150760293747998,@katiejanehughes,Banana Skin Facial,../content/visual-hook-mining/clips/katiejanehughes__banana-skin-facial__7355150760293747998_v3_31flashlite/beat-03.mp4,54.5,57.0,application_demonstration,sensory-experience,3,"Close-up of the creator rubbing the peel on her cheek, showing the texture and the way it glides on the skin.","Focuses on the sensory experience of the application, which is crucial for skincare marketing.",Capture the texture of the MUMUKI ampoule as it glides on the skin to mimic this satisfying application feel.
7427159569874390315-021,7427159569874390315,@duoheadspa,Banana Fruit Facial,../content/visual-hook-mining/clips/duoheadspa__banana-fruit-facial__7427159569874390315_v3_31flashlite/beat-01.mp4,0.0,2.0,hook_moment,stop-power,1,"A close-up of a person's face completely covered in thin, circular slices of banana.",The bizarre and visually striking image of a face covered in banana slices creates immediate curiosity and 'stop-scrolling' effect.,"Use as a visual hook to contrast the 'messy DIY' approach with the clean, professional application of the MUMUKI Honey Banana BDRN Ampoule."
7446093862952815918-026,7446093862952815918,@tenishaward1,Honey Comb Facial,../content/visual-hook-mining/clips/tenishaward1__honey-comb-facial__7446093862952815918_v3_31flashlite/beat-01.mp4,0.0,3.0,hook_moment,stop-power,1,"The creator is holding a large piece of raw honeycomb and squeezing it directly onto her forehead, with honey dripping down her face.","The raw, messy, and tactile nature of squeezing honeycomb directly onto the face creates an immediate 'what is she doing?' curiosity gap.","Use this as a high-impact hook by showing the rich, viscous texture of the MUMUKI ampoule being applied in a similar close-up, satisfying way."
7446093862952815918-027,7446093862952815918,@tenishaward1,Honey Comb Facial,../content/visual-hook-mining/clips/tenishaward1__honey-comb-facial__7446093862952815918_v3_31flashlite/beat-02.mp4,3.0,6.0,ingredient_texture,texture-focus,2,"Close-up of honey dripping and spreading across the creator's face, showing the sticky, thick consistency.","Highlights the sensory appeal of honey as a skincare ingredient, which is a key selling point for the ampoule.",Showcase the ampoule's texture in a similar macro shot to emphasize its richness and quality.
7446093862952815918-028,7446093862952815918,@tenishaward1,Honey Comb Facial,../content/visual-hook-mining/clips/tenishaward1__honey-comb-facial__7446093862952815918_v3_31flashlite/beat-03.mp4,8.0,11.0,application_process,application-demo,3,"The creator is massaging the honey into her skin with both hands, showing the full coverage of the DIY mask.","Demonstrates the ritualistic aspect of skincare application, which viewers find relaxing and satisfying to watch.",Replicate this massage motion with the MUMUKI ampoule to show how it absorbs or glides on the skin.
7446093862952815918-029,7446093862952815918,@tenishaward1,Honey Comb Facial,../content/visual-hook-mining/clips/tenishaward1__honey-comb-facial__7446093862952815918_v3_31flashlite/beat-04.mp4,12.0,15.0,skin_payoff,result-focus,4,"The creator shows her face after the mask, highlighting a natural, dewy glow.","Provides the 'payoff' that justifies the messy process, proving that the ingredient leads to visible skin improvement.",Use this as the 'after' shot to demonstrate the glow provided by the MUMUKI ampoule.
7446093862952815918-030,7446093862952815918,@tenishaward1,Honey Comb Facial,../content/visual-hook-mining/clips/tenishaward1__honey-comb-facial__7446093862952815918_v3_31flashlite/beat-05.mp4,15.0,17.6,skin_payoff,result-focus,5,"Close-up of the creator smiling and touching her glowing, hydrated skin.",The final result shot confirms the effectiveness of the honey-based skincare routine.,Use this as a closing shot to show the final skin texture achieved after using the MUMUKI product.
7447707169664879915-031,7447707169664879915,@byzareefa,Banana Peel DIY Mask,../content/visual-hook-mining/clips/byzareefa__banana-peel-diy-mask__7447707169664879915_v3_31flashlite/beat-01.mp4,1.5,4.5,hook_moment,stop-power,1,"The creator holds up a banana peel directly to the camera, showing the inside texture.","The direct, close-up reveal of the ingredient creates immediate curiosity and visual intrigue.",Use a similar close-up shot of the MUMUKI ampoule or a honey-infused texture to hook the viewer immediately.
7447707169664879915-032,7447707169664879915,@byzareefa,Banana Peel DIY Mask,../content/visual-hook-mining/clips/byzareefa__banana-peel-diy-mask__7447707169664879915_v3_31flashlite/beat-02.mp4,11.0,14.5,application_moment,product-like application,2,The creator rubs the inside of the banana peel directly onto her cheek.,"Demonstrates the 'DIY skincare' action clearly, which is highly engaging for viewers interested in natural beauty hacks.",Replace the banana peel with the application of the MUMUKI ampoule to show the product being massaged into the skin.
