group_id,group_title,id,creator,title,clipPath,startSeconds,endSeconds,clipPriority,visualEvidence
banana-peel-rub,Banana Peel Rub,7355150760293747998-016,@katiejanehughes,Banana Skin Facial,../content/visual-hook-mining/clips/katiejanehughes__banana-skin-facial__7355150760293747998_v3_31flashlite/beat-01.mp4,0.0,4.0,1,The creator is rubbing the inside of a banana peel directly onto her cheek.
banana-peel-rub,Banana Peel Rub,7330117596110392619-006,@victoria__benitez,Banana for Skin Girlies,../content/visual-hook-mining/clips/victoria-benitez__banana-for-skin-girlies__7330117596110392619_v3_31flashlite/beat-01.mp4,6.5,10.0,1,The creator is holding a banana peel and directly rubbing the inner side of it against her cheek.
banana-peel-rub,Banana Peel Rub,7627186004625018134-084,@zack.chug,Banana vs t0x Hook,../content/visual-hook-mining/clips/zack-chug__banana-vs-t0x-hook__7627186004625018134_v3_31flashlite/beat-01.mp4,6.5,9.0,1,"The creator is aggressively rubbing a banana peel directly onto his face, with mashed banana residue sticking to his skin."
banana-peel-rub,Banana Peel Rub,7561970033195257101-052,@thejenjones,Banana Peel Natural t0x,../content/visual-hook-mining/clips/thejenjones__banana-peel-natural-t0x__7561970033195257101_v3_31flashlite/beat-02.mp4,12.5,16.0,2,The creator rubs the inside of the banana peel directly onto her cheek and under-eye area.
banana-peel-rub,Banana Peel Rub,7318924509522791710-002,@thenaturalnadine,Banana Peel Skincare Scrub,../content/visual-hook-mining/clips/thenaturalnadine__banana-peel-skincare-scrub__7318924509522791710_v3_31flashlite/beat-02.mp4,39.5,43.0,2,Close-up shot of the creator rubbing the banana peel under her eye and across her cheekbone.
banana-peel-rub,Banana Peel Rub,7331862916603612462-012,@sheenaanayaaa,Banana Peel Tightening Test,../content/visual-hook-mining/clips/sheenaanayaaa__banana-peel-tightening-test__7331862916603612462_v3_31flashlite/beat-02.mp4,5.0,8.0,2,The creator rubs the inside of a banana peel directly onto her cheek and jawline.
banana-peel-rub,Banana Peel Rub,7355150760293747998-017,@katiejanehughes,Banana Skin Facial,../content/visual-hook-mining/clips/katiejanehughes__banana-skin-facial__7355150760293747998_v3_31flashlite/beat-02.mp4,17.0,20.0,2,Close-up of the creator rubbing the banana peel on one side of her face.
banana-peel-rub,Banana Peel Rub,7459763407668006152-037,@kevinnkylee,Banana Skin Tightening Hack,../content/visual-hook-mining/clips/kevinnkylee__banana-skin-tightening-hack__7459763407668006152_v3_31flashlite/beat-02.mp4,3.0,6.0,2,The creator rubs the inside of a banana peel directly onto his cheek and forehead.
banana-face-mask,Banana Face Mask / Patches,7427159569874390315-021,@duoheadspa,Banana Fruit Facial,../content/visual-hook-mining/clips/duoheadspa__banana-fruit-facial__7427159569874390315_v3_31flashlite/beat-01.mp4,0.0,2.0,1,"A close-up of a person's face completely covered in thin, circular slices of banana."
banana-face-mask,Banana Face Mask / Patches,7331862916603612462-013,@sheenaanayaaa,Banana Peel Tightening Test,../content/visual-hook-mining/clips/sheenaanayaaa__banana-peel-tightening-test__7331862916603612462_v3_31flashlite/beat-03.mp4,10.5,13.5,3,The creator places pieces of banana peel under her eyes like eye patches.
banana-face-mask,Banana Face Mask / Patches,7331862916603612462-014,@sheenaanayaaa,Banana Peel Tightening Test,../content/visual-hook-mining/clips/sheenaanayaaa__banana-peel-tightening-test__7331862916603612462_v3_31flashlite/beat-04.mp4,16.0,19.0,4,The creator has multiple pieces of banana peel stuck to her face as a mask.
honey-drip-texture,Honey Drip Texture,7446093862952815918-026,@tenishaward1,Honey Comb Facial,../content/visual-hook-mining/clips/tenishaward1__honey-comb-facial__7446093862952815918_v3_31flashlite/beat-01.mp4,0.0,3.0,1,"The creator is holding a large piece of raw honeycomb and squeezing it directly onto her forehead, with honey dripping down her face."
honey-drip-texture,Honey Drip Texture,7618385031932808462-074,@scottyscheller,Honey Health Hook,../content/visual-hook-mining/clips/scottyscheller__honey-health-hook__7618385031932808462_v3_31flashlite/beat-01.mp4,0.0,2.5,1,"Close-up of a spoon lifting a thick, viscous, golden honey from a jar, creating a long, slow drip."
honey-drip-texture,Honey Drip Texture,7593798567966297355-061,@shamiebirungi19,Honey Skin Glow Hack,../content/visual-hook-mining/clips/shamiebirungi19__honey-skin-glow-hack__7593798567966297355_v3_31flashlite/beat-01.mp4,0.0,3.5,1,Honey is being poured directly from a bottle onto the center of the creator's forehead.
honey-drip-texture,Honey Drip Texture,7545915943940050231-041,@jaimesskin,Manuka Honey Face Mask,../content/visual-hook-mining/clips/jaimesskin__manuka-honey-face-mask__7545915943940050231_v3_31flashlite/beat-01.mp4,0.0,3.0,1,"Close-up of the creator's face completely covered in a thick, golden, sticky honey mask, holding a wooden spoon with honey."
honey-drip-texture,Honey Drip Texture,7615701080982211853-071,@tenishaward1,Brighter Clearer Skin,../content/visual-hook-mining/clips/tenishaward1__brighter-clearer-skin__7615701080982211853_v3_31flashlite/beat-02.mp4,2.5,5.0,2,"Close-up of the brush spreading the smooth, thick yellow paste across the cheek and forehead."
honey-drip-texture,Honey Drip Texture,7579824086315011359-057,@drewcanole,DIY Honey Face Mask,../content/visual-hook-mining/clips/drewcanole__diy-honey-face-mask__7579824086315011359_v3_31flashlite/beat-02.mp4,6.0,9.0,2,"Close-up of a honey dipper dripping thick, golden raw honey."
honey-drip-texture,Honey Drip Texture,7446093862952815918-027,@tenishaward1,Honey Comb Facial,../content/visual-hook-mining/clips/tenishaward1__honey-comb-facial__7446093862952815918_v3_31flashlite/beat-02.mp4,3.0,6.0,2,"Close-up of honey dripping and spreading across the creator's face, showing the sticky, thick consistency."
honey-drip-texture,Honey Drip Texture,7593798567966297355-063,@shamiebirungi19,Honey Skin Glow Hack,../content/visual-hook-mining/clips/shamiebirungi19__honey-skin-glow-hack__7593798567966297355_v3_31flashlite/beat-03.mp4,6.5,10.0,2,"The creator uses her fingers to spread the thick, sticky honey across her entire face."
honey-drip-texture,Honey Drip Texture,7615701080982211853-072,@tenishaward1,Brighter Clearer Skin,../content/visual-hook-mining/clips/tenishaward1__brighter-clearer-skin__7615701080982211853_v3_31flashlite/beat-03.mp4,5.0,7.5,3,The creator is carefully applying the mask around the nose and mouth area with a brush.
